pair_id,config,branches,accuracy,macro_f1,brier,ece,kernel
synthetic_pair_7,E1,general,0.45,0.45,0.263159994235666,0.1055704856365497,rbf
synthetic_pair_7,E2,cue,0.875,0.8749218261413383,0.1103782099903602,0.1222043425061978,rbf
synthetic_pair_7,E3,context,0.7,0.6930946291560103,0.2418112485931491,0.1657873095098499,rbf
synthetic_pair_7,E4,general+cue,0.9,0.899749373433584,0.1224478247150146,0.1917363024690102,rbf
synthetic_pair_7,E5,general+context,0.575,0.5747342088805503,0.245484488583635,0.0644994588326154,rbf
synthetic_pair_7,E6,cue+context,0.85,0.849624060150376,0.1202928741369082,0.1482490162753036,rbf
synthetic_pair_7,E7,general+cue+context,0.85,0.8484848484848485,0.1363910429907565,0.1612969617582016,rbf
synthetic_pair_0,E0,(none -- majority-class baseline),0.475,0.4584139264990329,0.525,0.5249999999999999,matern52
synthetic_pair_0,E1,general,0.675,0.6731615336266499,0.2452918306267877,0.1651852899366894,matern52
synthetic_pair_0,E2,cue,0.6,0.5907928388746804,0.2287071665281099,0.1083058668226603,matern52
synthetic_pair_0,E3,context,0.625,0.6247654784240151,0.2526067282683842,0.1546473339751165,matern52
synthetic_pair_0,E4,general+cue,0.7,0.6992481203007519,0.2136784989657711,0.121746092973485,matern52
synthetic_pair_0,E5,general+context,0.725,0.7248280175109443,0.2184615347624964,0.1509945476627357,matern52
synthetic_pair_0,E6,cue+context,0.6,0.5907928388746804,0.2382467744591364,0.0711900756624476,matern52
synthetic_pair_0,E7,general+cue+context,0.725,0.7234443746071653,0.2075508699347562,0.1600199055506854,matern52
synthetic_pair_1,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475,matern52
synthetic_pair_1,E1,general,0.625,0.6228786926461345,0.2472118161032776,0.1293534043294777,matern52
synthetic_pair_1,E2,cue,0.6,0.595959595959596,0.2227754744343458,0.1465527925322568,matern52
synthetic_pair_1,E3,context,0.375,0.3746091307066916,0.2500003895432281,0.1250011103952292,matern52
synthetic_pair_1,E4,general+cue,0.775,0.7714285714285715,0.1688005897282175,0.1508645496576552,matern52
synthetic_pair_1,E5,general+context,0.525,0.5247029393370857,0.2485653398052988,0.0965358834543542,matern52
synthetic_pair_1,E6,cue+context,0.575,0.5725958516656191,0.2225808213182523,0.1015162945929766,matern52
synthetic_pair_1,E7,general+cue+context,0.65,0.6491228070175439,0.2098747370767758,0.101918256553809,matern52
synthetic_pair_2,E0,(none -- majority-class baseline),0.475,0.4584139264990329,0.525,0.5249999999999999,matern52
synthetic_pair_2,E1,general,0.55,0.5488721804511278,0.2499007711183233,0.2155934130608915,matern52
synthetic_pair_2,E2,cue,0.7,0.6992481203007519,0.2063611815921552,0.1968407585430131,matern52
synthetic_pair_2,E3,context,0.55,0.5396419437340154,0.2508203004592064,0.0363957719950492,matern52
synthetic_pair_2,E4,general+cue,0.625,0.6190476190476191,0.194220752180821,0.1377993409183313,matern52
synthetic_pair_2,E5,general+context,0.625,0.6190476190476191,0.2306412134499387,0.0893079047260914,matern52
synthetic_pair_2,E6,cue+context,0.675,0.6747967479674797,0.2006499518906552,0.1288449184292767,matern52
synthetic_pair_2,E7,general+cue+context,0.8,0.7994987468671679,0.1436360316927745,0.1790446045855978,matern52
synthetic_pair_3,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475,matern52
synthetic_pair_3,E1,general,0.725,0.7248280175109443,0.2052507643094445,0.1416317839787017,matern52
synthetic_pair_3,E2,cue,0.775,0.7748592870544091,0.1651567133419818,0.1405819832351661,matern52
synthetic_pair_3,E3,context,0.475,0.4584139264990329,0.2500000852613339,0.0250005276956873,matern52
synthetic_pair_3,E4,general+cue,0.775,0.7737272155876807,0.1383703594712755,0.1492816927093244,matern52
synthetic_pair_3,E5,general+context,0.725,0.7248280175109443,0.2039956165261129,0.1515469296644783,matern52
synthetic_pair_3,E6,cue+context,0.775,0.7748592870544091,0.1607004436879544,0.1029483515094081,matern52
synthetic_pair_3,E7,general+cue+context,0.775,0.7737272155876807,0.1409040744574217,0.1575789677711233,matern52
synthetic_pair_4,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475,matern52
synthetic_pair_4,E1,general,0.5,0.4301994301994302,0.2499685219261481,0.0250315105590118,matern52
synthetic_pair_4,E2,cue,0.725,0.7163120567375887,0.2194085946632173,0.2111007241695587,matern52
synthetic_pair_4,E3,context,0.75,0.75,0.1640291033253672,0.0993541051223671,matern52
synthetic_pair_4,E4,general+cue,0.7,0.696969696969697,0.2336212422098573,0.2160863704442071,matern52
synthetic_pair_4,E5,general+context,0.675,0.6731615336266499,0.2098267048400737,0.1246840342491061,matern52
synthetic_pair_4,E6,cue+context,0.8,0.7994987468671679,0.1458868185545388,0.117690450471815,matern52
synthetic_pair_4,E7,general+cue+context,0.8,0.7994987468671679,0.1599262878507234,0.150080300128952,matern52
synthetic_pair_5,E0,(none -- majority-class baseline),0.55,0.3548387096774194,0.45,0.45,matern52
synthetic_pair_5,E1,general,0.525,0.5247029393370857,0.2580804805812868,0.1601519405012785,matern52
synthetic_pair_5,E2,cue,0.5,0.4987468671679198,0.2460783435937779,0.0699054573799607,matern52
synthetic_pair_5,E3,context,0.625,0.6131528046421664,0.2511666979100498,0.1498815709755005,matern52
synthetic_pair_5,E4,general+cue,0.725,0.7163120567375887,0.1987855911706624,0.1008521647687463,matern52
synthetic_pair_5,E5,general+context,0.6,0.5989974937343359,0.2561053813663567,0.1476618090645532,matern52
synthetic_pair_5,E6,cue+context,0.55,0.5454545454545454,0.2531538060680047,0.0686129989667671,matern52
synthetic_pair_5,E7,general+cue+context,0.675,0.6698412698412699,0.2115247188035353,0.1060198910806481,matern52
synthetic_pair_6,E0,(none -- majority-class baseline),0.575,0.365079365079365,0.425,0.425,matern52
synthetic_pair_6,E1,general,0.7,0.6875,0.2155814049924077,0.1864891469075515,matern52
synthetic_pair_6,E2,cue,0.7,0.6992481203007519,0.2521393388891824,0.1881256410752235,matern52
synthetic_pair_6,E3,context,0.85,0.8465473145780051,0.1321677874831687,0.150256129467188,matern52
synthetic_pair_6,E4,general+cue,0.625,0.6190476190476191,0.2363840191619507,0.1186971878280096,matern52
synthetic_pair_6,E5,general+context,0.875,0.871050934880722,0.1005849241576553,0.1276728610306226,matern52
synthetic_pair_6,E6,cue+context,0.85,0.8465473145780051,0.1436048291482601,0.1594325992106263,matern52
synthetic_pair_6,E7,general+cue+context,0.8,0.7953964194373402,0.1452222953654846,0.1563233319933401,matern52
synthetic_pair_7,E0,(none -- majority-class baseline),0.55,0.3548387096774194,0.45,0.45,matern52
synthetic_pair_7,E1,general,0.475,0.474671669793621,0.2551325098682012,0.0768080691547099,matern52
synthetic_pair_7,E2,cue,0.875,0.8749218261413383,0.1141719765571704,0.1272037090797105,matern52
synthetic_pair_7,E3,context,0.475,0.4584139264990329,0.2510433064075721,0.0557402934563104,matern52
synthetic_pair_7,E4,general+cue,0.875,0.8749218261413383,0.1248787325159264,0.1760339269839278,matern52
synthetic_pair_7,E5,general+context,0.55,0.55,0.2462578951091044,0.0503902173378403,matern52
synthetic_pair_7,E6,cue+context,0.85,0.849624060150376,0.1230901337097654,0.1358510531861093,matern52
synthetic_pair_7,E7,general+cue+context,0.85,0.8484848484848485,0.1384000424272438,0.166716545758046,matern52
