pair_id,config,branches,accuracy,macro_f1,brier,ece
synthetic_pair_4,E1,general,0.525,0.5099935525467441,0.25047383534854106,0.02556727313286169
synthetic_pair_4,E2,cue,0.725,0.7163120567375887,0.22218651446869622,0.20855975164051443
synthetic_pair_4,E3,context,0.7,0.6992481203007519,0.1665759304214565,0.14788018607152553
synthetic_pair_4,E4,general+cue,0.65,0.6464646464646464,0.23682952311554759,0.18709971908340037
synthetic_pair_4,E5,general+context,0.675,0.6731615336266499,0.21358951606713514,0.14311058954401285
synthetic_pair_4,E6,cue+context,0.8,0.7994987468671679,0.14541487936920738,0.13730760800851502
synthetic_pair_4,E7,general+cue+context,0.8,0.7994987468671679,0.15858529049542297,0.19507494215988375
synthetic_pair_5,E0,(none -- majority-class baseline),0.55,0.3548387096774194,0.45,0.45
synthetic_pair_5,E1,general,0.5,0.4949494949494949,0.2574872087037917,0.1436903791619327
synthetic_pair_5,E2,cue,0.525,0.5099935525467441,0.24701363793403636,0.07069687671068019
synthetic_pair_5,E3,context,0.625,0.6131528046421664,0.2501409826255561,0.14799600286076067
synthetic_pair_5,E4,general+cue,0.65,0.6419437340153453,0.21085323813305465,0.06580399831177472
synthetic_pair_5,E5,general+context,0.575,0.5725958516656191,0.2623232283977809,0.1803778170120551
synthetic_pair_5,E6,cue+context,0.55,0.55,0.2569400502150111,0.09918002817507085
synthetic_pair_5,E7,general+cue+context,0.625,0.6228786926461345,0.2103137826895476,0.095110451595691
synthetic_pair_6,E0,(none -- majority-class baseline),0.575,0.36507936507936506,0.425,0.425
synthetic_pair_6,E1,general,0.725,0.7163120567375887,0.21375667974981188,0.23467836385775936
synthetic_pair_6,E2,cue,0.7,0.6992481203007519,0.25299352117295476,0.21294703121619096
synthetic_pair_6,E3,context,0.825,0.819471308833011,0.13270059830084296,0.14900010614070416
synthetic_pair_6,E4,general+cue,0.625,0.6190476190476191,0.23855615782918088,0.12148458748479699
synthetic_pair_6,E5,general+context,0.875,0.871050934880722,0.09968529764441615,0.12237798757329715
synthetic_pair_6,E6,cue+context,0.85,0.8465473145780051,0.14216987548344912,0.1500562312336994
synthetic_pair_6,E7,general+cue+context,0.775,0.7714285714285715,0.1444640099746195,0.17578118864362346
synthetic_pair_7,E0,(none -- majority-class baseline),0.55,0.3548387096774194,0.45,0.45
synthetic_pair_7,E1,general,0.45,0.45,0.26315999423566605,0.10557048563654971
